Date,Open,High,Low,Close,Volume,Returns,Volatility_7d,Volatility_30d,SMA_7,SMA_30,SMA_90,Daily_Range,Daily_Range_Pct,Year,Month,Day_of_Week,Quarter
2020-04-14,6879.44,6937.49,6614.79,6629.54,49708.81,,,,,,,322.6999999999998,4.867607707322074,2020,4,1,2
2020-04-15,6629.54,7207.11,6487.08,7114.55,98809.08,0.07060656268771628,,,,,,720.0299999999997,10.12052765108123,2020,4,2,2
2020-04-16,7114.55,7155.17,7005.79,7037.12,45840.75,-0.010942987319333554,,,,,,149.3800000000001,2.122743395025239,2020,4,3,2
2020-04-17,7037.12,7304.35,7028.43,7264.29,35919.74,0.03177156784923722,,,,,,275.9200000000001,3.7983065103403093,2020,4,4,2
2020-04-18,7264.29,7276.84,7072.33,7132.88,29493.83,-0.01825548347123204,,,,,,204.51000000000022,2.8671448278956078,2020,4,5,2
2020-04-19,7132.88,7225.23,6770.07,6842.45,64707.0,-0.04156922530308659,,,,,,455.15999999999985,6.652003302910506,2020,4,6,2
2020-04-20,6842.45,6948.78,6779.51,6855.11,44531.91,0.0018485049315211913,,,6982.277142857143,,,169.26999999999953,2.4692528639219433,2020,4,0,2
2020-04-21,6855.11,7165.43,6831.44,7135.41,43780.72,0.04007535292059768,0.03875717553930148,,7054.544285714285,,,333.9900000000007,4.680740139669629,2020,4,1,2
2020-04-22,7135.41,7731.56,7041.2,7489.25,81106.87,0.048398946516701576,0.03358076522491326,,7108.072857142856,,,690.3600000000006,9.218012484561212,2020,4,2,2
2020-04-23,7489.25,7607.28,7408.35,7509.44,51734.5,0.002692236748008144,0.032728653779772805,,7175.547142857143,,,198.92999999999938,2.649065709293894,2020,4,3,2
2020-04-24,7509.44,7708.4,7445.98,7546.92,30165.48,0.004978637255950086,0.031190497278257623,,7215.922857142857,,,262.4200000000001,3.477180094661134,2020,4,4,2
2020-04-25,7546.92,7705.3,7497.88,7701.35,33092.14,0.020256105159345113,0.02967116249733922,,7297.132857142858,,,207.42000000000007,2.693294032864369,2020,4,5,2
2020-04-26,7701.35,7790.33,7639.98,7787.41,48551.15,0.01111268889705736,0.01882853040222885,,7432.127142857143,,,150.35000000000036,1.9306804187785205,2020,4,6,2
2020-04-27,7787.41,7791.85,7671.26,7760.32,38507.32,-0.003484756606142517,0.01970137741377193,,7561.442857142857,,,120.59000000000015,1.5539307657416208,2020,4,0,2
2020-04-28,7760.32,8952.44,7733.02,8784.96,157978.19,0.12401759795468296,0.044947983940626185,,7797.092857142858,,,1219.42,13.880768950570069,2020,4,1,2
2020-04-29,8784.96,9460.77,8416.64,8637.56,161267.28,-0.016921032888910333,0.047147998738247196,,7961.137142857143,,,1044.130000000001,12.088251774806787,2020,4,2,2
2020-04-30,8637.56,9066.47,8631.39,8829.12,70407.63,0.02193521387622992,0.04650145591315612,,8149.662857142857,,,435.0799999999999,4.927784422456597,2020,4,3,2
2020-05-01,8829.12,9013.29,8768.81,8981.11,36139.66,0.017068133292778696,0.0459361167886542,,8354.547142857144,,,244.48000000000138,2.722157951522711,2020,5,4,2
2020-05-02,8981.11,9197.48,8735.78,8907.19,59476.78,-0.008264666933872272,0.04764505916823733,,8526.81,,,461.6999999999989,5.183452918372673,2020,5,5,2
2020-05-03,8907.19,8968.9,8537.49,8881.65,64835.52,-0.0028714652050129868,0.048405097742824414,,8683.13,,,431.40999999999985,4.8573181784916075,2020,5,6,2
2020-05-04,8881.65,9119.13,8781.58,9029.75,60185.36,0.016537330998643008,0.0474521744058217,,8864.477142857142,,,337.5499999999993,3.738198731969315,2020,5,0,2
2020-05-05,9029.75,9408.99,8924.06,9153.2,88912.83,0.013578863370389896,0.015012999398448981,,8917.082857142857,,,484.9300000000003,5.297928593278856,2020,5,1,2
2020-05-06,9153.2,10064.33,9042.52,9999.93,125991.41,0.08847454804631377,0.03180765926432329,,9111.707142857143,,,1021.8099999999995,10.218171527200685,2020,5,2,2
2020-05-07,9999.93,10041.73,9728.64,9808.18,91540.3,-0.01936136157867654,0.03523375002965272,,9251.572857142857,,,313.09000000000015,3.1921314657765265,2020,5,3,2
2020-05-08,9808.18,9912.22,9525.77,9541.13,59814.44,-0.027604804307843286,0.038678932561863034,,9331.575714285715,,,386.4499999999989,4.050358814941196,2020,5,4,2
2020-05-09,9541.13,9556.85,8228.22,8735.05,133597.2,-0.088268259414934,0.053490851424566645,,9306.984285714285,,,1328.630000000001,15.210330793756203,2020,5,5,2
2020-05-10,8735.05,9164.84,8228.58,8568.88,144898.27,-0.019206632046957408,0.05385021810023843,,9262.302857142857,,,936.2600000000002,10.926282081205482,2020,5,6,2
2020-05-11,8568.88,8975.74,8541.95,8821.18,66073.43,0.029018612296976068,0.054883608600378296,,9232.507142857143,,,433.78999999999905,4.917596058577186,2020,5,0,2
2020-05-12,8821.18,9407.67,8807.57,9317.44,68248.72,0.05473226493685963,0.0590442359912258,,9255.97,,,600.1000000000004,6.440610296390428,2020,5,1,2
2020-05-13,9317.44,9937.97,9263.29,9793.19,97176.37,0.04979933330887599,0.050912335403873445,,9226.435714285713,8253.185333333333,,674.6799999999985,6.889277140543566,2020,5,2,2
2020-05-14,9793.19,9841.71,9149.13,9311.69,84280.62,-0.050416646106907666,0.05384581730688114,0.042270146376116424,9155.50857142857,8342.590333333334,,692.5799999999999,7.437747605429303,2020,5,3,2
2020-05-15,9311.69,9584.9,9224.32,9387.08,37023.76,0.00806367568623073,0.05330238265938641,0.04076089938572169,9133.50142857143,8418.341333333334,,360.5799999999999,3.8412371046161313,2020,5,4,2
2020-05-16,9387.08,9885.55,9334.23,9670.56,52271.64,0.02975194311040293,0.03807846241123822,0.04074321682785071,9267.145714285714,8506.122666666666,,551.3199999999997,5.701014212206943,2020,5,5,2
2020-05-17,9670.56,9943.74,9476.37,9722.73,62325.78,0.005380224381341698,0.035493628796386255,0.040554721392871376,9431.981428571427,8588.070666666667,,467.369999999999,4.806983223847613,2020,5,6,2
2020-05-18,9722.73,9890.69,9471.96,9780.2,60720.68,0.0058934905004666225,0.03537825232808034,0.040218635420737434,9568.984285714285,8676.314666666667,,418.7300000000014,4.281405288235429,2020,5,0,2
2020-05-19,9780.2,9832.94,9323.82,9509.45,61892.78,-0.02807389270961908,0.033576767177760515,0.03968788159756363,9596.414285714285,8765.214666666667,,509.1200000000008,5.353832240560714,2020,5,1,2
2020-05-20,9509.45,9566.81,8811.54,9059.11,87116.97,-0.0485151597917331,0.031172379403681984,0.041126205237543664,9491.545714285716,8838.681333333334,,755.2699999999986,8.337132455616485,2020,5,2,2
2020-05-21,9059.11,9265.04,8936.82,9170.74,44400.9,0.012247099706469006,0.026684895960913457,0.04071977943758792,9471.41,8906.525666666666,,328.22000000000116,3.5789914445290254,2020,5,3,2
2020-05-22,9170.74,9311.34,9101.08,9186.19,23636.66,0.0016832883982320734,0.026383997596987632,0.04002330812251234,9442.711428571429,8963.090333333334,,210.26000000000022,2.288870576376062,2020,5,4,2
2020-05-23,9186.19,9307.11,8707.14,8718.49,45736.61,-0.05225521155026909,0.02755148899011109,0.04144998907912836,9306.701428571429,9003.392,,599.9700000000012,6.88158155827444,2020,5,5,2
2020-05-24,8718.49,8977.43,8639.46,8901.48,43894.32,0.020771497259461136,0.029941421230000844,0.04155018765164908,9189.380000000001,9048.544,,337.97000000000116,3.796784354961211,2020,5,6,2
2020-05-25,8901.48,9011.53,8705.66,8844.5,39855.17,-0.006421758146496022,0.02902084082927931,0.04150900423781318,9055.708571428571,9086.649,,305.8700000000008,3.4583074226920774,2020,5,0,2
2020-05-26,8844.5,9222.3,8820.55,9204.62,42022.36,0.03990973501949021,0.03452292096709838,0.041994612654191486,9012.161428571428,9133.889333333333,,401.75,4.364656009699477,2020,5,1,2
2020-05-27,9204.62,9619.34,9112.3,9579.71,56625.62,0.039941788204918394,0.03188059575018697,0.04241793898999987,9086.532857142858,9194.535666666667,,507.0400000000009,5.292853332720938,2020,5,2,2
2020-05-28,9579.71,9601.43,9344.8,9424.62,40183.32,-0.016321905906951,0.03305083127898084,0.03637889112440151,9122.801428571429,9215.857666666669,,256.630000000001,2.7229745071949956,2020,5,3,2
2020-05-29,9424.62,9735.73,9340.45,9699.78,24640.28,0.028777790620878964,0.03431035959202733,0.03650100982895447,9196.171428571428,9251.265000000001,,395.27999999999884,4.0751439723375045,2020,5,4,2
2020-05-30,9699.78,9703.51,9400.25,9450.47,22242.38,-0.026038729121141326,0.027401134752875183,0.036732245229042025,9300.74,9271.976666666666,,303.2600000000002,3.2089409309801553,2020,5,5,2
2020-05-31,9450.47,10359.02,9421.6,10211.23,44485.42,0.07742361932933695,0.03720323593213871,0.03914451500249409,9487.847142857145,9312.980666666666,,937.4200000000001,9.180284843255906,2020,5,6,2
2020-06-01,10211.23,10232.25,9344.53,9523.75,82606.91,-0.06969941624287486,0.05005164813146013,0.04136720815194043,9584.882857142858,9333.532666666666,,887.7199999999993,9.3211182569891,2020,6,0,2
2020-06-02,9523.75,9666.25,9408.56,9666.06,33114.73,0.014832101923187683,0.04847427134986916,0.04141815234594536,9650.802857142857,9359.679666666667,,257.6900000000005,2.665925930523921,2020,6,1,2
2020-06-03,9666.06,9877.89,9470.9,9794.55,43080.32,0.013205327805832537,0.04645626510996494,0.04138455658310863,9681.494285714285,9385.173,,406.9899999999998,4.155270022614616,2020,6,2,2
2020-06-04,9794.55,9846.54,9611.19,9622.02,41806.08,-0.01777188668905684,0.046560767884729605,0.041496314892485626,9709.694285714286,9400.800333333334,,235.35000000000036,2.445952097376646,2020,6,3,2
2020-06-05,9622.02,9728.4,9536.15,9671.46,22979.04,0.0051250586433141026,0.045213747260517904,0.03813808270912986,9705.64857142857,9389.851333333334,,192.25,1.9878074251457383,2020,6,4,2
2020-06-06,9671.46,9806.21,9410.33,9750.7,39020.91,0.008159796816062605,0.043809734799445256,0.03801480579059822,9748.53857142857,9387.935333333335,,395.8799999999992,4.060016203964835,2020,6,5,2
