Date,Close
2020-04-14,6629.54
2020-04-15,7114.55
2020-04-16,7037.12
2020-04-17,7264.29
2020-04-18,7132.88
2020-04-19,6842.45
2020-04-20,6855.11
2020-04-21,7135.41
2020-04-22,7489.25
2020-04-23,7509.44
2020-04-24,7546.92
2020-04-25,7701.35
2020-04-26,7787.41
2020-04-27,7760.32
2020-04-28,8784.96
2020-04-29,8637.56
2020-04-30,8829.12
2020-05-01,8981.11
2020-05-02,8907.19
2020-05-03,8881.65
2020-05-04,9029.75
2020-05-05,9153.2
2020-05-06,9999.93
2020-05-07,9808.18
2020-05-08,9541.13
2020-05-09,8735.05
2020-05-10,8568.88
2020-05-11,8821.18
2020-05-12,9317.44
2020-05-13,9793.19
2020-05-14,9311.69
2020-05-15,9387.08
2020-05-16,9670.56
2020-05-17,9722.73
2020-05-18,9780.2
2020-05-19,9509.45
2020-05-20,9059.11
2020-05-21,9170.74
2020-05-22,9186.19
2020-05-23,8718.49
2020-05-24,8901.48
2020-05-25,8844.5
2020-05-26,9204.62
2020-05-27,9579.71
2020-05-28,9424.62
2020-05-29,9699.78
2020-05-30,9450.47
2020-05-31,10211.23
2020-06-01,9523.75
2020-06-02,9666.06
2020-06-03,9794.55
2020-06-04,9622.02
2020-06-05,9671.46
2020-06-06,9750.7
2020-06-07,9782.58
2020-06-08,9779.7
2020-06-09,9891.84
2020-06-10,9268.13
2020-06-11,9464.23
2020-06-12,9474.65
2020-06-13,9333.7
2020-06-14,9429.65
2020-06-15,9526.7
2020-06-16,9459.13
2020-06-17,9380.67
2020-06-18,9301.83
2020-06-19,9359.18
2020-06-20,9292.81
2020-06-21,9691.61
2020-06-22,9624.3
2020-06-23,9292.94
2020-06-24,9241.32
2020-06-25,9158.07
2020-06-26,9007.14
2020-06-27,9120.39
2020-06-28,9187.07
2020-06-29,9136.47
2020-06-30,9238.89
2020-07-01,9092.8
2020-07-02,9066.46
2020-07-03,9142.2
2020-07-04,9081.44
2020-07-05,9347.05
2020-07-06,9257.32
2020-07-07,9439.2
2020-07-08,9238.95
2020-07-09,9288.57
2020-07-10,9237.13
2020-07-11,9300.95
2020-07-12,9237.89
2020-07-13,9256.07
2020-07-14,9193.22
2020-07-15,9133.23
2020-07-16,9156.79
2020-07-17,9177.22
2020-07-18,9216.02
2020-07-19,9164.42
2020-07-20,9392.83
2020-07-21,9537.24
2020-07-22,9615.21
2020-07-23,9550.23
2020-07-24,9708.41
2020-07-25,9942.01
2020-07-26,11042.94
2020-07-27,10933.26
2020-07-28,11112.04
2020-07-29,11113.66
2020-07-30,11352.72
2020-07-31,11812.42
2020-08-01,11063.5
2020-08-02,11234.73
2020-08-03,11194.18
2020-08-04,11752.05
2020-08-05,11771.27
2020-08-06,11603.82
2020-08-07,11770.77
2020-08-08,11686.34
2020-08-09,11897.41
2020-08-10,11389.01
2020-08-11,11570.19
2020-08-12,11790.68
2020-08-13,11774.52
2020-08-14,11860.91
2020-08-15,11917.97
2020-08-16,12301.19
2020-08-17,11956.69
2020-08-18,11760.37
2020-08-19,11863.43
2020-08-20,11527.35
2020-08-21,11670.42
2020-08-22,11651.52
2020-08-23,11756.4
2020-08-24,11330.56
2020-08-25,11466.89
2020-08-26,11331.02
2020-08-27,11535.21
2020-08-28,11480.48
2020-08-29,11716.54
2020-08-30,11657.81
2020-08-31,11926.69
2020-09-01,11397.9
2020-09-02,10174.62
2020-09-03,10467.33
2020-09-04,10167.97
2020-09-05,10260.37
2020-09-06,10379.08
2020-09-07,10128.54
2020-09-08,10228.85
2020-09-09,10345.68
2020-09-10,10398.5
2020-09-11,10448.0
2020-09-12,10332.36
2020-09-13,10678.31
2020-09-14,10786.7
2020-09-15,10957.1
2020-09-16,10945.14
2020-09-17,10937.89
2020-09-18,11083.61
2020-09-19,10921.85
2020-09-20,10418.14
2020-09-21,10534.73
2020-09-22,10238.09
2020-09-23,10742.98
2020-09-24,10694.12
2020-09-25,10734.23
2020-09-26,10781.47
2020-09-27,10699.0
2020-09-28,10841.29
2020-09-29,10779.42
2020-09-30,10622.79
2020-10-01,10576.64
2020-10-02,10552.04
2020-10-03,10675.52
2020-10-04,10795.11
2020-10-05,10603.9
2020-10-06,10672.67
2020-10-07,10929.4
2020-10-08,11058.78
2020-10-09,11301.57
2020-10-10,11375.51
2020-10-11,11539.76
2020-10-12,11427.29
2020-10-13,11429.3
2020-10-14,11508.31
2020-10-15,11326.25
2020-10-16,11367.65
2020-10-17,11513.33
2020-10-18,11756.88
2020-10-19,11921.78
2020-10-20,12813.11
2020-10-21,12990.25
2020-10-22,12937.2
2020-10-23,13126.13
2020-10-24,13041.21
2020-10-25,13069.43
2020-10-26,13646.02
2020-10-27,13285.97
2020-10-28,13462.18
2020-10-29,13565.95
2020-10-30,13803.41
2020-10-31,13761.72
2020-11-01,13571.24
2020-11-02,14023.78
2020-11-03,14157.73
2020-11-04,15599.92
2020-11-05,15590.62
2020-11-06,14838.16
2020-11-07,15488.25
2020-11-08,15335.03
2020-11-09,15313.73
2020-11-10,15707.08
2020-11-11,16306.53
2020-11-12,16332.85
2020-11-13,16075.95
2020-11-14,15964.7
2020-11-15,16721.46
2020-11-16,17681.54
2020-11-17,17786.27
2020-11-18,17824.64
2020-11-19,18672.78
2020-11-20,18704.06
2020-11-21,18430.59
2020-11-22,18385.74
2020-11-23,19157.16
2020-11-24,18725.76
2020-11-25,17175.86
2020-11-26,17155.0
2020-11-27,17739.9
2020-11-28,18199.23
2020-11-29,19686.87
2020-11-30,18792.03
2020-12-01,19226.19
2020-12-02,19448.44
2020-12-03,18665.0
2020-12-04,19156.84
2020-12-05,19378.94
2020-12-06,19181.41
2020-12-07,18323.52
2020-12-08,18549.92
2020-12-09,18250.47
2020-12-10,18034.86
2020-12-11,18814.98
2020-12-12,19169.05
2020-12-13,19274.69
2020-12-14,19441.96
2020-12-15,21352.13
2020-12-16,22822.17
2020-12-17,23135.57
2020-12-18,23844.72
2020-12-19,23467.06
2020-12-20,22727.13
2020-12-21,23823.32
2020-12-22,23239.5
